date,county,fips,positive_patients,suspected_patients,icu_positive_patients,icu_suspected_patients,icu_available_beds
2021-11-08,Alameda,1,51.0,30.0,15.0,4.0,119.0
2021-11-08,Amador,5,4.0,0.0,2.0,0.0,2.0
2021-11-08,Butte,7,54.0,0.0,9.0,0.0,5.0
2021-11-08,Calaveras,9,3.0,0.0,1.0,0.0,4.0
2021-11-08,Colusa,11,3.0,0.0,0.0,0.0,0.0
2021-11-08,Contra Costa,13,32.0,17.0,11.0,5.0,50.0
2021-11-08,Del Norte,15,3.0,0.0,1.0,0.0,2.0
2021-11-08,El Dorado,17,10.0,0.0,1.0,0.0,5.0
2021-11-08,Fresno,19,305.0,11.0,72.0,1.0,19.0
2021-11-08,Glenn,21,0.0,0.0,0.0,0.0,0.0
2021-11-08,Humboldt,23,11.0,1.0,3.0,0.0,5.0
2021-11-08,Imperial,25,44.0,0.0,14.0,0.0,4.0
2021-11-08,Inyo,27,4.0,0.0,0.0,0.0,2.0
2021-11-08,Kern,29,227.0,0.0,56.0,0.0,18.0
2021-11-08,Kings,31,49.0,0.0,8.0,0.0,0.0
2021-11-08,Lake,33,3.0,0.0,2.0,0.0,0.0
2021-11-08,Lassen,35,3.0,0.0,0.0,0.0,0.0
2021-11-08,Los Angeles,37,620.0,79.0,162.0,10.0,573.0
2021-11-08,Madera,39,26.0,2.0,6.0,0.0,6.0
2021-11-08,Marin,41,3.0,4.0,1.0,0.0,17.0
2021-11-08,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-08,Mendocino,45,10.0,0.0,1.0,0.0,0.0
2021-11-08,Merced,47,41.0,0.0,13.0,0.0,1.0
2021-11-08,Modoc,49,1.0,0.0,0.0,0.0,0.0
2021-11-08,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-08,Monterey,53,23.0,0.0,1.0,0.0,17.0
2021-11-08,Napa,55,8.0,2.0,4.0,0.0,2.0
2021-11-08,Nevada,57,13.0,1.0,1.0,0.0,3.0
2021-11-08,Orange,59,225.0,5.0,53.0,0.0,147.0
2021-11-08,Placer,61,109.0,7.0,35.0,0.0,20.0
2021-11-08,Plumas,63,4.0,0.0,0.0,0.0,0.0
2021-11-08,Riverside,65,240.0,20.0,56.0,1.0,95.0
2021-11-08,Sacramento,67,163.0,20.0,47.0,3.0,68.0
2021-11-08,San Benito,69,2.0,0.0,0.0,0.0,1.0
2021-11-08,San Bernardino,71,319.0,15.0,88.0,4.0,144.0
2021-11-08,San Diego,73,258.0,15.0,76.0,1.0,222.0
2021-11-08,San Francisco,75,30.0,4.0,11.0,1.0,84.0
2021-11-08,San Joaquin,77,98.0,3.0,32.0,0.0,15.0
2021-11-08,San Luis Obispo,79,17.0,1.0,4.0,0.0,18.0
2021-11-08,San Mateo,81,21.0,12.0,7.0,2.0,17.0
2021-11-08,Santa Barbara,83,37.0,0.0,13.0,0.0,29.0
2021-11-08,Santa Clara,85,102.0,27.0,27.0,4.0,70.0
2021-11-08,Santa Cruz,87,3.0,1.0,0.0,0.0,3.0
2021-11-08,Shasta,89,58.0,0.0,8.0,0.0,9.0
2021-11-08,Siskiyou,93,5.0,0.0,1.0,0.0,3.0
2021-11-08,Solano,95,40.0,8.0,11.0,1.0,9.0
2021-11-08,Sonoma,97,24.0,1.0,6.0,0.0,16.0
2021-11-08,Stanislaus,99,163.0,7.0,31.0,0.0,23.0
2021-11-08,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-08,Tehama,103,10.0,0.0,3.0,0.0,3.0
2021-11-08,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-08,Tulare,107,149.0,8.0,36.0,0.0,4.0
2021-11-08,Tuolumne,109,10.0,0.0,0.0,0.0,4.0
2021-11-08,Ventura,111,37.0,5.0,5.0,0.0,35.0
2021-11-08,Yolo,113,7.0,0.0,3.0,0.0,6.0
2021-11-08,Yuba,115,25.0,0.0,7.0,0.0,4.0
2021-11-07,Alameda,1,49.0,29.0,17.0,4.0,122.0
2021-11-07,Amador,5,4.0,0.0,2.0,0.0,0.0
2021-11-07,Butte,7,57.0,1.0,10.0,0.0,7.0
2021-11-07,Calaveras,9,4.0,0.0,1.0,0.0,4.0
2021-11-07,Colusa,11,2.0,0.0,0.0,0.0,0.0
2021-11-07,Contra Costa,13,32.0,19.0,12.0,3.0,54.0
2021-11-07,Del Norte,15,3.0,0.0,1.0,0.0,2.0
2021-11-07,El Dorado,17,10.0,0.0,3.0,0.0,4.0
2021-11-07,Fresno,19,307.0,12.0,71.0,3.0,20.0
2021-11-07,Glenn,21,0.0,2.0,0.0,0.0,0.0
2021-11-07,Humboldt,23,14.0,1.0,3.0,0.0,8.0
2021-11-07,Imperial,25,39.0,0.0,11.0,0.0,4.0
2021-11-07,Inyo,27,4.0,0.0,0.0,0.0,1.0
2021-11-07,Kern,29,227.0,0.0,55.0,0.0,15.0
2021-11-07,Kings,31,46.0,0.0,7.0,0.0,5.0
2021-11-07,Lake,33,3.0,0.0,2.0,0.0,0.0
2021-11-07,Lassen,35,4.0,0.0,0.0,0.0,0.0
2021-11-07,Los Angeles,37,625.0,91.0,154.0,20.0,583.0
2021-11-07,Madera,39,26.0,6.0,7.0,0.0,7.0
2021-11-07,Marin,41,2.0,3.0,1.0,1.0,14.0
2021-11-07,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-07,Mendocino,45,8.0,0.0,1.0,0.0,3.0
2021-11-07,Merced,47,43.0,0.0,14.0,0.0,0.0
2021-11-07,Modoc,49,1.0,0.0,0.0,0.0,0.0
2021-11-07,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-07,Monterey,53,23.0,0.0,1.0,0.0,17.0
2021-11-07,Napa,55,8.0,2.0,4.0,0.0,3.0
2021-11-07,Nevada,57,15.0,0.0,1.0,0.0,1.0
2021-11-07,Orange,59,227.0,9.0,56.0,1.0,148.0
2021-11-07,Placer,61,109.0,6.0,28.0,1.0,21.0
2021-11-07,Plumas,63,4.0,0.0,0.0,0.0,0.0
2021-11-07,Riverside,65,254.0,22.0,63.0,2.0,83.0
2021-11-07,Sacramento,67,158.0,26.0,44.0,2.0,68.0
2021-11-07,San Benito,69,2.0,0.0,0.0,0.0,2.0
2021-11-07,San Bernardino,71,299.0,16.0,87.0,3.0,131.0
2021-11-07,San Diego,73,270.0,18.0,78.0,2.0,212.0
2021-11-07,San Francisco,75,32.0,6.0,11.0,0.0,88.0
2021-11-07,San Joaquin,77,100.0,6.0,29.0,0.0,12.0
2021-11-07,San Luis Obispo,79,16.0,0.0,4.0,0.0,17.0
2021-11-07,San Mateo,81,20.0,13.0,5.0,1.0,16.0
2021-11-07,Santa Barbara,83,35.0,0.0,8.0,0.0,35.0
2021-11-07,Santa Clara,85,103.0,19.0,29.0,3.0,58.0
2021-11-07,Santa Cruz,87,3.0,1.0,0.0,0.0,3.0
2021-11-07,Shasta,89,61.0,0.0,11.0,0.0,7.0
2021-11-07,Siskiyou,93,5.0,0.0,1.0,0.0,4.0
